TIC tpeak SNR RMS
107091580 1509.5800471569564 3.374266921761668 0.001603894067747008
130951161 1511.7670728865342 8.122018434297429 0.00857839876509849
292647810 1513.0084216973423 6.473131974257273 0.0006256729695157459
127004296 1498.642690294189 3.5346732776365886 0.0009833546374547258
140945317 1498.258617096114 8.785936027314046 0.0009102180647013407
98284517 1498.8699767416103 14.758111562308562 0.0014315730105748502
79858050 1514.3598832656394 11.691926678929072 0.001785201576660962
419370580 1500.662209037623 6.084244066322187 0.005692065432919507
262701947 1507.774392676939 5.425707659766592 0.0015660210607866226
437220329 1499.067849428137 18.269558543262185 0.0019492974816452046
284230708 1512.3440489702946 14.122760866844995 0.0024089926102588617
168599673 1499.222613165032 14.642914645088378 0.000921719388740092
123894867 1499.3610852700972 15.336314052675467 0.0008680569131203044
81229119 1499.287094328362 12.534285883648561 0.0013102331860851983
412842682 1506.7006769824081 5.088240760066854 0.0018053961837828914
350332387 1497.8449775306267 18.814474560700653 0.000863339277267234
142083711 1507.0728038833531 8.477254677222287 0.00031583793574421244
291206214 1500.3333709158173 19.62736329602496 0.0016333756341757042
440774647 1510.6240419458202 18.994691985979884 0.0018131106410769794
285527111 1509.1979034273297 8.582454438047124 0.001221975823152492
267253289 1500.2700292955064 3.1977094458987176 0.0005781203936276771
148628705 1498.378538825887 13.270289724754122 0.0012523596360879546
231741979 1507.6709214633227 19.95955674000327 0.0010793129942404435
21184505 1507.3181153221583 5.385068679014542 0.000606137303783578
56235830 1496.997151223982 7.506076700836464 0.002060740812152366
264865362 1509.0816064520188 18.553869044371623 0.0012702754149762408
112112344 1500.6024382357757 15.345333164492493 0.001423437557135175
139664947 1500.5450102018233 6.465309655471941 0.0006530271246748874
369465965 1508.14197826788 13.511900296592115 0.0007866239374794235
148340624 1509.7487027893656 8.653457382741307 0.0013605815759400808
431851814 1512.1252011510683 4.934566084611138 0.0011470832162311748
36474924 1498.5506759638158 3.4563197569255326 0.0012750360318113602
349972562 1508.5963539458417 5.660954989443715 0.0006405080342524683
119520135 1501.0070603757435 15.07650195547814 0.0005973800332078177
296443379 1498.0225844598824 18.982578503512485 0.0027810060040105718
143481580 1510.5967940768603 7.191754590649952 0.0010809229965598772
821999731 1512.1951246215606 8.047306775645522 0.000614445491818506
175182495 1511.894168173486 4.236862198464639 0.0038382488997097657
255586622 1513.394869232887 16.01743629908347 0.0016215631743099108
113101138 1497.4771258216288 15.57911554950755 0.001487178031618841
291580598 1499.5928326127653 17.75872802056628 0.0044144565084013486
278384349 1501.079153800407 6.325701012239839 0.0006538430781143241
278180781 1497.7622062059309 4.382489703369311 0.0011287808233750413
23307279 1497.340750374068 18.611304003181758 0.0014074852331257403
262758957 1509.1479659325678 14.393667821213079 0.0010375674178721573
130275120 1509.9045052114013 3.5682677618616587 0.0012338354919729944
