TIC tpeak
173437307 1499.5267933489608
238285409 1507.2112239550863
50839087 1498.4024973987957
403671635 1507.8414073869883
127139936 1512.9500231768855
177311330 1499.842042990932
419316570 1497.6490392717467
132373277 1511.8574057890878
145174124 1497.0514086971752
266361604 1508.241015327908
437229439 1497.999990815268
349203127 1499.5774386687203
340695106 1497.752321249492
56023161 1498.082092081196
14562244 1513.5844650353927
270577939 1499.9356036685901
278685029 1498.1335815011462
150031040 1508.8425208977576
168940645 1499.0595662095084
320967203 1512.7229377524673
130797667 1509.1510906539845
170103787 1513.761493089482
176044862 1512.247839953891
300142462 1507.5218439260311
131474221 1510.7223154955686
422142895 1499.2459692459392
332080139 1510.6168668625983
751402620 1499.2425373784397
267834151 1497.5203281415706
78570065 1509.8850361631214
81939982 1507.0875351637599
25788281 1500.878537216894
122996547 1510.0392107224122
133338012 1513.230581742286
318843411 1513.469442347235
412451723 1499.3527271275348
68203748 1513.9976533849438
169055908 1497.834400280818
154836073 1510.8694986623002
284649858 1498.298505227211
109830532 1500.4512810609954
178441612 1498.2355740195858
187518979 1498.869604349966
145397967 1509.8570635662354
99514673 1498.0200374842952
262497355 1511.85810063618
823813352 1511.6310538873845
453144111 1512.3588603257588
349790377 1497.5953958068997
23547884 1497.28558747133
268871846 1510.9483871540654
269067610 1497.120568817399
80040823 1507.4772468020951
238288486 1513.8699269072597
125348456 1508.323281000638
143334398 1498.358271141581
59764588 1498.1323188620931
237930207 1499.806726733115
130953266 1509.6108941114676
265129855 1513.0154152372793
139335462 1510.250159535357
260078231 1498.7800894016605
409462766 1497.0718469771123
317584832 1513.7663214361114
78669627 1508.1501965064754
109827865 1499.8388887871924
63579500 1498.190641559559
32252041 1513.9977083822375
66241360 1507.4294323995382
176957181 1511.38589007294
169906770 1508.0562187591875
155122795 1513.1646616628034
187659645 1507.240154370038
456704946 1507.8591889555419
55401681 1498.7325341057249
142289788 1511.1827744143554
147255182 1506.7491005277698
382148025 1497.564965033264
153992453 1500.159468903625
127892810 1510.0469438926934
52749768 1501.0946222487303
143393816 1500.7886252647065
53603608 1509.1883213674564
271038600 1513.0517733742693
207333261 1511.3761499333432
130371556 1496.7362955162998
143919581 1507.4338616503817
78739977 1507.5238772557002
51249103 1499.905613888428
268779667 1497.3528948070746
265044242 1508.739168860748
350142438 1510.9447751892487
56238196 1512.4313721459205
106619929 1510.329379139345
292535760 1510.3122339930087
79802066 1510.1108216710388
145976347 1510.2661235264143
319433175 1500.8850156795875
339857675 1513.8984456708945
440765933 1508.4136953671953
150361513 1511.5603534413785
170104166 1509.0886623242232
172194727 1509.867358729292
142623714 1499.8227595068481
79877118 1512.3689188742178
265238398 1511.133558978213
149348502 1500.4314190783343
152489870 1497.9530883155135
350145858 1507.6267958667174
237947100 1508.4264199984445
271303515 1512.887937941627
257071723 1508.2716930150057
167694457 1509.9151318259937
177853595 1497.1424941611542
292184004 1499.4243705392057
126268578 1511.5165602346997
65401723 1510.1495011106667
65800172 1497.4179201159757
320656677 1513.5735924681615
52276037 1513.695778380734
123881925 1511.3002898378588
54228130 1497.1315230311948
267334166 1507.619590633394
339862577 1497.6442612683559
745311816 1507.9058007854142
79855057 1498.3991470934334
140273192 1512.3747124950025
168337487 1499.810472805921
339674804 1506.9556472847726
437132432 1497.152947597645
19382989 1512.9181337489254
146914476 1497.6873534775073
60081998 1497.3421624302182
130473059 1498.5840239224603
154680129 1510.7515355810715
175679360 1513.4974742435465
80921051 1497.1989894759338
255570101 1513.6193392601338
238917058 1499.2653031947702
218592258 1497.9382761272989
393481582 1513.4900874254506
127745065 1497.4657032254818
63946852 1500.6970240057872
52387067 1496.868358897432
156920184 1511.307129197051
320343876 1499.5317973050737
308450612 1510.2788531566646
369521499 1509.3983798325783
231460312 1509.8801479923434
389876631 1509.1960373354318
175011728 1507.3247149655265
52002889 1498.3615012703656
405162590 1498.3782853999016
19521403 1511.7807949821124
319011986 1497.8191084684784
141123114 1500.388996134395
274140111 1512.0269158416352
130265052 1513.6575503321203
409594459 1508.3456969804506
375055982 1510.8608868575695
265209243 1512.7186397622918
139785294 1507.9336718795682
238083309 1507.5313869750626
