3665.318994 0.999117
3665.319225 0.999283
3665.319456 0.999238
3665.319688 0.999275
3665.319919 0.999420
3665.320151 0.999455
3665.320382 0.999397
3665.320614 0.999441
3665.320845 0.999433
3665.321077 0.999470
3665.321308 0.999273
3665.321540 0.999617
3665.321771 0.999429
3665.322003 0.999638
3665.322234 0.999540
3665.322466 0.999764
3665.322697 0.999743
3665.322929 0.999750
3665.323160 0.999923
3665.323392 0.999828
3665.323623 1.000082
3665.323855 0.999876
3665.324086 0.999925
3665.324318 1.000014
3665.324549 1.000002
3665.324781 0.999999
3665.325012 0.999939
3665.325243 1.000073
3665.325475 1.000203
3665.325706 1.000207
3665.325938 1.000174
3665.326169 0.999959
3665.326401 1.000322
3665.326632 1.000107
3665.326864 1.000389
3665.327095 1.000568
3665.327327 1.000314
3665.327558 1.000208
3665.327790 1.000494
3665.328021 1.000579
3665.328253 1.000468
3665.328484 1.000586
3665.328716 1.000742
3665.328947 1.000478
3665.329179 1.000506
3665.329410 1.000639
3665.329642 1.000564
3665.329873 1.000769
3665.330105 1.000579
3665.330336 1.000497
3665.330568 1.000491
3665.330799 1.000582
3665.331031 1.000450
3665.331262 1.000665
3665.331493 1.000453
3665.331725 1.000363
3665.331956 1.000342
3665.332188 1.000463
3665.332419 1.000275
3665.332651 1.000170
3665.332882 1.000057
3665.333114 1.000086
3665.333345 1.000098
3665.333577 1.000012
3665.333808 1.000005
3665.334040 0.999966
3665.334271 0.999815
3665.334503 0.999735
3665.334734 0.999916
3665.334966 0.999662
3665.335197 1.000046
3665.335429 0.999701
3665.335660 0.999691
3665.335892 0.999736
3665.336123 0.999342
3665.336355 0.999392
3665.336586 0.999358
3665.336818 0.999179
3665.337049 0.999301
3665.337281 0.999512
3665.337512 0.999340
3665.337743 0.999312
3665.337975 0.999184
3665.338206 0.999172
3665.338438 0.999334
3665.338669 0.999325
3665.338901 0.999083
3665.339132 0.999139
3665.339364 0.999075
3665.339595 0.999118
3665.339827 0.999238
3665.340058 0.999008
3665.340290 0.999067
3665.340521 0.999143
3665.340753 0.999078
3665.340984 0.999037
3665.341216 0.999180
3665.341447 0.999248
3665.341679 0.999465
3665.341910 0.999242
3665.342142 0.999394
3665.342373 0.999480
3665.342605 0.999256
3665.342836 0.999474
3665.343068 0.999352
3665.343299 0.999399
3665.343531 0.999379
3665.343762 0.999247
3665.343993 0.999680
3665.344225 0.999493
3665.344456 0.999565
3665.344688 0.999696
3665.344919 0.999624
3665.345151 0.999597
3665.345382 0.999788
3665.345614 0.999907
3665.345845 0.999797
3665.346077 0.999863
3665.346308 0.999983
3665.346540 1.000041
3665.346771 1.000068
3665.347003 1.000121
3665.347234 1.000027
3665.347466 1.000083
3665.347697 1.000245
3665.347929 1.000090
3665.348160 1.000318
3665.348392 1.000119
3665.348623 1.000300
3665.348855 1.000333
3665.349086 1.000336
3665.349318 1.000600
3665.349549 1.000451
3665.349781 1.000543
3665.350012 1.000321
3665.350243 1.000633
3665.350475 1.000441
3665.350706 1.000238
3665.350938 1.000394
3665.351169 1.000349
3665.351401 1.000290
3665.351632 1.000382
3665.351864 1.000463
3665.352095 1.000109
3665.352327 1.000409
3665.352558 1.000309
3665.352790 1.000373
3665.353021 1.000312
3665.353253 1.000413
3665.353484 1.000327
3665.353716 1.000258
3665.353947 1.000188
3665.354179 1.000133
3665.354410 1.000260
3665.354642 1.000216
3665.354873 1.000236
3665.355105 1.000166
3665.355336 1.000072
3665.355568 1.000274
3665.355799 0.999998
3665.356031 0.999995
3665.356262 1.000066
3665.356493 0.999850
3665.356725 0.999880
3665.356956 0.999910
3665.357188 0.999779
3665.357419 0.999858
3665.357651 0.999905
3665.357882 0.999744
3665.358114 0.999655
3665.358345 0.999699
3665.358577 0.999971
3665.358808 0.999820
3665.359040 0.999579
3665.359271 0.999622
3665.359503 0.999665
3665.359734 0.999863
3665.359966 0.999661
3665.360197 0.999579
3665.360429 0.999703
3665.360660 0.999836
3665.360892 0.999648
3665.361123 0.999653
3665.361355 0.999497
3665.361586 0.999669
3665.361818 0.999626
3665.362049 0.999569
3665.362280 0.999783
3665.362512 0.999607
3665.362743 0.999688
