TIC m_TIC RAJ2000 DEJ2000 Tmag BJD0 Per Morph Sectors Transit_Times tpeak
341550561 1 120.5647248895 -55.5405944226 6.729 1493.729613 1.1057183 0.847 7.0 1498.1524861999999 1498.1524861999999
341550561 1 120.5647248895 -55.5405944226 6.729 1493.729613 1.1057183 0.847 7.0 1499.2582045 1499.2582045
341550561 1 120.5647248895 -55.5405944226 6.729 1493.729613 1.1057183 0.847 7.0 1500.3639228 1500.3639228
341550561 1 120.5647248895 -55.5405944226 6.729 1493.729613 1.1057183 0.847 7.0 1501.4696411 1501.4696411
341550561 1 120.5647248895 -55.5405944226 6.729 1493.729613 1.1057183 0.847 7.0 1502.5753594 1502.5753594
341550561 1 120.5647248895 -55.5405944226 6.729 1493.729613 1.1057183 0.847 7.0 1503.6810777 1503.6810777
341550561 1 120.5647248895 -55.5405944226 6.729 1493.729613 1.1057183 0.847 7.0 1504.7867959999999 1504.7867959999999
341550561 1 120.5647248895 -55.5405944226 6.729 1493.729613 1.1057183 0.847 7.0 1505.8925143 1505.8925143
341550561 1 120.5647248895 -55.5405944226 6.729 1493.729613 1.1057183 0.847 7.0 1506.9982326 1506.9982326
341550561 1 120.5647248895 -55.5405944226 6.729 1493.729613 1.1057183 0.847 7.0 1508.1039509 1508.1039509
341550561 1 120.5647248895 -55.5405944226 6.729 1493.729613 1.1057183 0.847 7.0 1509.2096692 1509.2096692
341550561 1 120.5647248895 -55.5405944226 6.729 1493.729613 1.1057183 0.847 7.0 1510.3153875 1510.3153875
341550561 1 120.5647248895 -55.5405944226 6.729 1493.729613 1.1057183 0.847 7.0 1511.4211058 1511.4211058
341550561 1 120.5647248895 -55.5405944226 6.729 1493.729613 1.1057183 0.847 7.0 1512.5268240999999 1512.5268240999999
341550561 1 120.5647248895 -55.5405944226 6.729 1493.729613 1.1057183 0.847 7.0 1513.6325424 1513.6325424
341550561 1 120.5647248895 -55.5405944226 6.729 1493.729613 1.1057183 0.847 7.0 1514.7382607 1514.7382607
341550561 1 120.5647248895 -55.5405944226 6.729 1493.729613 1.1057183 0.847 7.0 1515.843979 1515.843979
177308817 1 103.1585650000 -73.8247270000 11.467 1339.631384 23.8960519 0.067 7.0 1506.9037473 1506.9037473
382069441 1 079.6739311359 -58.0705893248 11.379 1327.777811 5.4786639 0.615 7.0 1492.137728 1492.137728
382069441 1 079.6739311359 -58.0705893248 11.379 1327.777811 5.4786639 0.615 7.0 1497.6163919 1497.6163919
382069441 1 079.6739311359 -58.0705893248 11.379 1327.777811 5.4786639 0.615 7.0 1503.0950558 1503.0950558
382069441 1 079.6739311359 -58.0705893248 11.379 1327.777811 5.4786639 0.615 7.0 1508.5737196999999 1508.5737196999999
382069441 1 079.6739311359 -58.0705893248 11.379 1327.777811 5.4786639 0.615 7.0 1514.0523836 1514.0523836
349518145 1 111.2558893592 -61.3165780500 12.602 1327.574927 8.2798747 0.150 7.0 1493.172421 1493.172421
349518145 1 111.2558893592 -61.3165780500 12.602 1327.574927 8.2798747 0.150 7.0 1501.4522957 1501.4522957
349518145 1 111.2558893592 -61.3165780500 12.602 1327.574927 8.2798747 0.150 7.0 1509.7321703999999 1509.7321703999999
38586438 1 064.0902106825 -62.0128901216 11.670 1325.336622 1.1112853 0.368 7.0 1492.029417 1492.029417
38586438 1 064.0902106825 -62.0128901216 11.670 1325.336622 1.1112853 0.368 7.0 1493.1407023000002 1493.1407023000002
38586438 1 064.0902106825 -62.0128901216 11.670 1325.336622 1.1112853 0.368 7.0 1494.2519876000001 1494.2519876000001
38586438 1 064.0902106825 -62.0128901216 11.670 1325.336622 1.1112853 0.368 7.0 1495.3632729 1495.3632729
38586438 1 064.0902106825 -62.0128901216 11.670 1325.336622 1.1112853 0.368 7.0 1496.4745582 1496.4745582
38586438 1 064.0902106825 -62.0128901216 11.670 1325.336622 1.1112853 0.368 7.0 1497.5858435 1497.5858435
38586438 1 064.0902106825 -62.0128901216 11.670 1325.336622 1.1112853 0.368 7.0 1498.6971288 1498.6971288
38586438 1 064.0902106825 -62.0128901216 11.670 1325.336622 1.1112853 0.368 7.0 1499.8084141 1499.8084141
38586438 1 064.0902106825 -62.0128901216 11.670 1325.336622 1.1112853 0.368 7.0 1500.9196994000001 1500.9196994000001
