TIC tpeak
264172684 1935.8606803773002
238922174 1501.799340988818
389432671 1937.8503606456732
238380257 1497.6778643400037
236783347 1940.0805196432648
157014033 1508.142155876286
274509184 1939.0942303936115
129800069 1511.0548281729793
152084947 1509.9682705415623
139775353 1494.160873063492
187663424 1497.1809505927304
56389095 1492.4393994158027
178005828 1493.4845625245714
133338012 1515.127432016981
130536455 1506.192586313073
344137707 1515.3066285675768
158533523 1952.4684014448583
266550991 1505.6369668545444
100020875 1498.9050183996212
267829276 1492.3257398010683
156328898 1508.0243974307293
180655199 1947.5260443484804
126921124 1503.4063677277613
127494401 1503.0033845703051
170400582 1505.6627754962915
293311439 1514.0185036504236
125171724 1492.8666252123744
177130629 1492.3155161789043
65546145 1515.3262944319843
79213562 1499.0407279647156
155036276 1497.621651003017
142015292 1510.4001105177301
138185290 1930.1484600069887
125169002 1495.2918788295074
458459433 1931.7309352131863
145334609 1507.4478885009146
22726445 1503.7926402140945
65757204 1492.6643192129782
79543256 1506.63065647884
162619499 1947.0269356898746
339672431 1493.9370544835888
32175591 1491.9574000667258
88573302 1509.3549818393105
31925259 1501.4784384508753
54706362 1507.0422293926417
198282002 1935.060493102319
452950135 1510.4243396067018
170108481 1506.1800707851794
1002795171 1947.91116275997
156115774 1504.6941303333822
186853560 1512.2797755679887
80651509 1505.6481789928418
123081581 1492.8921978291505
124701081 1512.8662415683687
108460178 1505.8305246326688
419498162 1492.7415788603007
64359982 1504.7343150764323
87552369 1950.1315260753022
1201123302 1943.2031322328978
399166722 1942.351658386061
56462793 1508.9910082241072
264837821 1504.2312985331707
126273994 1496.0822033419213
31929916 1499.009336048185
443890099 1504.4075788595019
822568771 1513.5874859053529
81196898 1503.6077135080584
238033595 1510.6755635742245
140328845 1512.746864963803
27654388 1498.6255741134248
310137200 1951.8202325556497
284132096 1492.2598519882984
65754735 1495.9544026588794
96514623 1497.745939101025
149393749 1510.9492654492249
147287838 1495.2177630250724
126781979 1504.3439070383247
409316082 1506.1310698557525
300561896 1504.6410626048475
295816377 1492.4569771945837
131345535 1501.2540839280748
142918854 1507.0858934860207
233572831 1952.7585980871447
178623507 1511.940138881918
143581349 1492.0402847017094
60188428 1502.9588393571698
377188580 1940.5415591209521
182226983 1493.753622170654
432120055 1499.127788657465
62141483 1495.5321728616416
129165616 1496.2406764787522
114477993 1502.2556861352564
264238358 1492.5472431422904
170463897 1496.210571655316
139781901 1493.2808211188933
437224007 1503.0675895987665
165627097 1928.3149647315677
64446795 1494.860356875959
230387010 1947.1486496162036
456699417 1501.4644098917665
53127139 1504.1221925355378
125685487 1493.1623885797264
344025846 1513.7002321356842
146414952 1501.5388268099264
158019373 1943.8108676052086
269698320 1946.5162170582787
267833893 1513.6405005620727
278990881 1511.6361927965045
150428135 1497.264233002264
129027569 1494.6619124110732
155031983 1508.712818196942
374860655 1501.7568688268468
177614309 1507.2117439086142
265169044 1500.2278372494486
267813804 1934.6748637151984
422069791 1493.7077406932897
149914136 1500.4707564994774
300286620 1492.2633477204065
283791223 1933.3113055462486
128467657 1506.8077135625658
292359126 1500.1142411635046
64847099 1500.2689991661002
52541914 1500.2461254288573
468949149 1499.3390652132769
334514716 1514.971465758909
264595340 1510.7918172142506
116381557 1931.0414878139804
274310520 1929.8921574792432
207334420 1494.2822754495285
231924551 1495.238936701285
142137351 1507.300326456048
174011203 1497.3257081657364
422250698 1928.9937777038147
236783591 1948.7264713736051
453148675 1506.985361296175
187852390 1492.3179581940242
63358208 1497.4086690441416
128128223 1504.049521632619
780249390 1500.964634407063
320415895 1507.9485296085254
20230283 1502.716514838032
63896178 1501.9033064137088
237236514 1940.1130371556737
272357491 1514.410177757581
148640119 1491.988811221803
272468765 1515.5502267578884
177389939 1507.3178367973337
65208598 1505.0277530468163
128221332 1500.962690413202
153843939 1505.9580491734566
259066052 1501.0628097744695
109052027 1502.6688161668394
36340650 1506.578499278276
131747571 1500.1028443475568
310167600 1952.5170999656239
112411691 1515.87308808652
109689701 1514.605983105249
399074566 1951.7939397770106
175607644 1510.1655826626547
50933080 1506.8202340752784
234377281 1499.7265190874198
307769036 1493.9318592662914
356108732 1936.126156054126
30934179 1510.555560836307
178694797 1508.6196083143122
25997219 1515.0519931606216
174213036 1500.4000386714736
424732318 1951.1592144127399
32175588 1500.0315085011518
452879409 1495.9743098215363
230381878 1942.3159581334316
124809173 1507.871559922325
60378949 1510.8218911613762
172401491 1497.0832357651705
219845980 1937.2755192174895
172467372 1496.8787121118958
238266043 1499.8410392553792
38681543 1495.6850381180411
175307196 1494.0303940906551
145912550 1493.1076380644786
73094575 1508.9110268390866
749014235 1499.582248076886
458624891 1494.0378053647225
379083820 1930.4009807661366
148438316 1512.2507557356262
382065632 1492.5909665267181
148168056 1503.6427433278411
97161082 1515.357019650985
366516977 1952.6377996268352
291464468 1515.356071915666
284709487 1944.6487974061865
132531870 1513.256415147779
142195851 1492.5031955591153
149316066 1507.1017495687404
300290035 1498.6025732792955
177757104 1505.6275506641462
64914421 1513.4014216010485
238727690 1513.8772335125989
36333473 1493.4399945804691
180567637 1930.9220127573892
409731109 1495.2088889833526
126923527 1498.3046624195792
419362329 1505.7790102235838
114201728 1506.8048034791016
219801658 1949.990934725514
179107619 1509.1291424595365
295150896 1501.9665560663198
364324017 1513.022649926406
61749929 1514.992187406876
165977607 1950.0388774551725
229583799 1954.0267890663329
768223141 1496.8925289114372
393386345 1498.6999136517923
108834627 1513.954563361505
49006150 1495.659013382725
268915004 1513.6604784769036
284710337 1935.50325928383
300324508 1500.187348360977
109565420 1501.9286784509422
93954305 1495.732662370184
243275303 1952.4648655825172
14456540 1929.138888031668
127973608 1508.8836621110158
23161260 1510.622233656282
156937088 1500.9570053791435
150165786 1493.945500109852
264689438 1497.5912605585863
170087775 1493.7319886896082
51929642 1511.8893477251247
65881563 1500.7118619524706
107006429 1515.952853652046
150222433 1497.9993503392354
156844119 1494.05769061761
27415740 1939.461874459924
53600927 1500.910245383987
160010608 1953.2170291882794
135157262 1938.9435850346076
405579548 1940.1542231388898
16454778 1494.81163915915
156943923 1511.1827938926585
306773456 1499.7663732110148
198286066 1948.8293661808839
130716796 1940.1780050335935
219773751 1941.0905419295527
177852288 1502.4669492125504
141707614 1496.2422642978383
112657126 1496.2044363936393
765653037 1515.4988751317615
97582150 1500.9355169038242
173859001 1499.3859842408149
293320811 1506.14467853883
14611553 1506.1980227902645
357413911 1941.0054705116472
155653415 1507.058872717453
412386039 1501.7100780427818
348477966 1492.3813888001855
168705578 1933.4539314940228
300384466 1494.3232210461795
97837179 1492.4470115115023
287195308 1951.1911618775712
65193168 1514.4721338140848
79936408 1510.5072308105468
284738014 1508.489421815225
63728800 1492.219206462725
198185939 1948.5607008649943
31960929 1492.5888269112681
139659518 1503.867163682781
207243000 1497.5005366821993
174144737 1515.7573723803464
419317689 1515.581318438484
332200101 1515.5605160525683
341848009 1509.1961271527587
300868634 1500.0787807691088
456814426 1498.4014531481969
154239253 1502.4107280488242
825060689 1513.9735680389333
262293375 1497.369513487813
