TIC BJD0 Per filepath Sectors Transit_Times tpeak
279955276 1326.275208 0.5768497 ../data/binary-files/hlsp_gsfc-eleanor-lite_tess_ffi_s0007-0000000279955276_tess_v1.0_lc.fits 7 1492.4079216 1492.4079216
279955276 1326.275208 0.5768497 ../data/binary-files/hlsp_gsfc-eleanor-lite_tess_ffi_s0007-0000000279955276_tess_v1.0_lc.fits 7 1492.9847713 1492.9847713
279955276 1326.275208 0.5768497 ../data/binary-files/hlsp_gsfc-eleanor-lite_tess_ffi_s0007-0000000279955276_tess_v1.0_lc.fits 7 1493.561621 1493.561621
279955276 1326.275208 0.5768497 ../data/binary-files/hlsp_gsfc-eleanor-lite_tess_ffi_s0007-0000000279955276_tess_v1.0_lc.fits 7 1494.1384707 1494.1384707
279955276 1326.275208 0.5768497 ../data/binary-files/hlsp_gsfc-eleanor-lite_tess_ffi_s0007-0000000279955276_tess_v1.0_lc.fits 7 1494.7153204 1494.7153204
279955276 1326.275208 0.5768497 ../data/binary-files/hlsp_gsfc-eleanor-lite_tess_ffi_s0007-0000000279955276_tess_v1.0_lc.fits 7 1495.2921701 1495.2921701
279955276 1326.275208 0.5768497 ../data/binary-files/hlsp_gsfc-eleanor-lite_tess_ffi_s0007-0000000279955276_tess_v1.0_lc.fits 7 1495.8690198 1495.8690198
279955276 1326.275208 0.5768497 ../data/binary-files/hlsp_gsfc-eleanor-lite_tess_ffi_s0007-0000000279955276_tess_v1.0_lc.fits 7 1496.4458695 1496.4458695
279955276 1326.275208 0.5768497 ../data/binary-files/hlsp_gsfc-eleanor-lite_tess_ffi_s0007-0000000279955276_tess_v1.0_lc.fits 7 1497.0227192 1497.0227192
279955276 1326.275208 0.5768497 ../data/binary-files/hlsp_gsfc-eleanor-lite_tess_ffi_s0007-0000000279955276_tess_v1.0_lc.fits 7 1497.5995689000001 1497.5995689000001
279955276 1326.275208 0.5768497 ../data/binary-files/hlsp_gsfc-eleanor-lite_tess_ffi_s0007-0000000279955276_tess_v1.0_lc.fits 7 1498.1764186 1498.1764186
279955276 1326.275208 0.5768497 ../data/binary-files/hlsp_gsfc-eleanor-lite_tess_ffi_s0007-0000000279955276_tess_v1.0_lc.fits 7 1498.7532683 1498.7532683
279955276 1326.275208 0.5768497 ../data/binary-files/hlsp_gsfc-eleanor-lite_tess_ffi_s0007-0000000279955276_tess_v1.0_lc.fits 7 1499.330118 1499.330118
