TIC tpeak
318800245 1508.6388400836854
55390000 1500.6672139991085
318895295 1508.5996061312549
88795727 1513.271811935302
151159690 1507.6498976785324
56542360 1500.2977887208694
150151136 1512.9540292716124
172257267 1508.904580412961
155884387 1510.1171145119715
157457475 1513.4281053044167
229970971 1952.515717262017
281429128 1507.6940605923592
148590570 1498.3891186930566
113742367 1497.0835879271067
143582013 1498.0346753509482
319474322 1498.1910747793115
19451026 1509.363369562275
334356076 1500.1846342045228
79776593 1507.7771031779191
357050588 1952.0961535875051
295622300 1498.323647193053
143674454 1506.6631121345201
177689302 1512.5872461217245
306633240 1500.3966825398593
65471953 1512.3858950863669
124544225 1508.6246853051564
65975282 1499.1000584387407
48520042 1508.4506949380336
143674481 1496.7735005693735
159832649 1952.2866978654447
220589227 1509.160485993927
155727846 1498.0118106396285
329154080 1938.0731689513766
279950533 1506.9830330109612
150279897 1511.8380616699142
19902908 1498.135373615989
35968707 1511.2351654686604
23806644 1496.9472355413182
196285861 1499.0324513323412
235681235 1951.8730868652574
165761924 1951.879243197383
126266927 1506.9420888385716
109125357 1497.714331997468
265133280 1500.3601032617269
149419722 1500.841019141755
331924995 1513.2435792787212
112235005 1508.8021414244006
238035721 1497.6540990551007
60380793 1497.1081468160148
88755280 1501.064545103871
176873930 1500.850500938158
458591306 1507.038775368935
319437611 1513.7470670672808
21221689 1510.8584012575268
263968695 1945.04973918957
144051939 1497.0678633981706
170401106 1496.7611337791243
149177783 1513.3513546098256
367855443 1938.1636800638676
300938206 1497.2435081146327
759372870 1499.0014866754339
98544229 1512.2938509514775
52447377 1513.100369899094
468961703 1512.9267946598654
123018845 1513.1847900593154
169174049 1499.2331109713627
113029258 1508.5537534998316
425083838 1499.817776748684
456701786 1498.148720976665
284564062 1952.8144698684414
154359268 1938.145053009065
146827477 1500.8165446469154
18939293 1511.7294544245408
234420998 1507.8570083871407
381924293 1496.762202293171
285022126 1497.0483377582586
156259072 1511.9715924995144
176045249 1511.8759482226774
269907785 1509.266989657851
116440315 1937.9416578795585
278684687 1513.4307403985435
64060428 1510.3006737080016
419307421 1508.0656414724153
36567925 1513.8708353051309
142918610 1499.206574169432
97583240 1509.8418705813153
123642961 1507.6974868732666
60255399 1496.7400075611315
175017934 1508.0315151433647
360020841 1945.0091244221167
150331301 1498.1667695261174
66101295 1509.5471776010204
394087990 1944.9125831238578
123877195 1497.872767039503
310996071 1938.097626559274
56039144 1508.5772139557635
393271550 1499.2873625192447
128669999 1499.4088020228126
266441563 1500.4700522803237
130614756 1512.1298416931825
732458729 1498.3713182895062
141271861 1499.0926781221667
144803396 1512.7925750720033
53067406 1510.414468489514
268983175 1498.7023736282817
319288009 1507.3030736816986
320123711 1500.9202015712779
23368845 1499.5118480855945
412349141 1499.518415523321
261259144 1507.3761139936635
133496775 1500.2671000297448
31943791 1497.5459159596146
54068551 1497.8176316668398
169773877 1497.9817380798836
169771785 1509.9251767737478
313548482 1938.0514311167947
229937752 1952.1859030754952
286964194 1952.630235582767
127572003 1507.4954466574216
19815252 1512.280928889994
259450562 1497.0697476177097
106337928 1509.9447789522076
443966393 1512.3074594069499
131845658 1507.6564481530208
64822180 1510.1343192851175
229497545 1952.8157963520132
269072813 1498.3372800926384
23043870 1506.639823309433
93963489 1496.8086498437524
64411684 1499.0805130891558
458586692 1508.4396843937911
280007736 1499.3964108936268
95599913 1508.4027529794967
230383282 1952.6283072380154
237208727 1952.8357788823243
113107801 1510.0089954807113
123636696 1499.6590366055689
432059597 1510.1022264433384
127742682 1499.5210048212132
109827548 1498.4035754149793
277317421 1496.8202635844261
87600207 1937.9907635230609
199615014 1951.7316842095836
170008349 1511.5666382751774
123745068 1508.7544882694096
333819043 1501.0009942705578
10747057 1937.941715038439
88860998 1508.93946851785
81421199 1513.573108057956
288478664 1506.7412849015416
219479497 1952.186803350899
99155622 1513.4402222241972
264574784 1511.5997012922394
357388030 1952.2359896764362
441711308 1938.0414082542745
143394224 1512.9379083508384
125791591 1511.4619154402483
382188365 1497.1119050970349
132082091 1509.930164242069
153034283 1500.7326231509066
145024547 1496.8159387740784
431915167 1511.9730210026569
173136589 1511.559762875142
238011879 1511.609156064187
168981813 1497.2077019997625
97159872 1512.1206340026583
62398211 1512.3145108712238
126586765 1509.5793894761925
359242711 1952.7370534626853
167421913 1512.0438481008528
107089552 1510.0484446863125
55782082 1513.504464122947
207248416 1508.285176781626
95187787 1496.795039502358
187710299 1497.8655936273205
87550072 1952.630790325472
307630884 1500.059986367
373532463 1499.5678949478686
10000551457 1938.1088228523304
149521392 1499.352500167884
388053104 1510.2258435444899
235056433 1498.4733971287626
219148551 1499.5997190324229
141940383 1498.9541194628512
129877921 1507.0274133560763
140532835 1513.0186852000932
406931445 1952.511329411924
65659391 1497.0544131836364
20486358 1512.3234180764491
78949456 1513.4029242829915
123664392 1498.5520233942798
165187432 1497.685470864015
280437174 1511.82571886701
152240346 1512.5464890047213
141990066 1497.690736843952
155997294 1938.0398814422667
310136877 1952.6739007924157
65411916 1510.9769112863833
399182347 1937.9237404516807
389875787 1508.0615769134279
348298128 1512.5253433145695
186812363 1511.9075611485102
170363103 1509.8227475842245
98383509 1513.3522201000487
230381351 1952.6908932535803
291794431 1498.2478776246787
218885874 1510.9039072350297
409897324 1499.8381835636997
348294907 1513.7410772643948
290753192 1511.1473520527625
419495116 1513.2787121072488
199715054 1951.887748471173
176357423 1509.6864154538107
19904932 1510.5876420067038
110801445 1497.7005604919034
143831765 1499.74540737405
154230570 1498.640185424564
237208580 1951.6688625308634
131793323 1510.2883870112937
96319972 1514.0677102525262
411217400 1938.1033656446943
271378714 1512.4913142286346
238618000 1513.9377767931082
269597476 1951.9438584633592
237229152 1952.720801806096
347137192 1510.300534780094
375064476 1508.5703382316406
348795910 1509.0563589817539
259132336 1951.8438587769958
146628026 1512.816045825821
167653169 1508.7379510028265
107406029 1512.1778361973693
359119448 1938.1036111752583
233155595 1951.9895714190388
156050363 1500.9265506304482
36467980 1513.4696196919535
110807433 1507.5191877829395
30031315 1507.5305937533844
147769936 1506.7819776930598
149302338 1507.3006887338306
178648104 1511.9571595971383
131242232 1513.1964514945043
146121918 1497.6244240451565
452928065 1510.8368249349533
166669506 1952.7149661751096
169196395 1500.9408990415122
180977627 1513.60747407552
229443490 1951.6589335733602
422024768 1511.802511570903
147368356 1497.8298561440831
165550173 1952.6743892347984
53742560 1507.3153299752787
366621275 1511.2097031095848
271499819 1509.006949581493
238373206 1507.6272961586897
412521939 1498.8291483061216
359634567 1952.831620488244
199663096 1951.9382096803897
123035765 1497.603817320585
94580114 1509.693678944278
410868883 1497.4847571394146
14606357 1510.636899304739
1000664728 1938.1312354214742
94695946 1498.5719961697432
73094465 1509.25953164501
173434393 1499.8241711626995
382157299 1500.3180292117527
308449390 1498.2022210668847
146869876 1498.8296851375726
112232014 1506.4700273481224
220411074 1497.6110714141937
122982881 1497.5019253488467
177252461 1498.050902079699
125287263 1511.7553738983765
67938603 1499.3790657168083
80804086 1510.3298895944238
146335662 1499.931182920557
265042655 1508.8115440055342
236708342 1952.2800248615931
348894574 1497.9151488869657
123134498 1501.0818436114944
108286601 1499.1515592410258
392318066 1951.672929192549
146912886 1507.1295103302468
56469788 1513.176003162702
143263707 1498.893309862449
332203065 1498.7925895513904
445393678 1508.9795582429847
52110988 1513.718527433192
147801739 1510.81061042955
170409213 1510.8285928746886
143599329 1508.4070042920152
294152747 1507.8151322580766
293268894 1508.7123259274224
47592460 1513.8369434246647
388055673 1501.0901012988547
153342768 1513.0436753936583
745436235 1513.6944968809448
98549807 1509.9512235635225
159841098 1952.3556647281944
150333091 1508.3424257136492
365197720 1952.1655617325248
170225634 1497.19398995428
50643002 1497.2404188508813
388088213 1513.3096739363702
38828619 1499.9417330389967
177335445 1511.0391793698166
168942241 1498.2834971679574
142134613 1512.7886014559886
284130679 1512.3506573119623
33089293 1498.603085968658
393894679 1951.9152051313777
65793344 1512.901214492077
140615201 1499.8226457435935
73338805 1497.419585772429
272427921 1507.1968604766437
366490570 1951.8832171090726
112235829 1511.832299987954
198318543 1951.8908698383457
348911493 1498.0168124042686
170362605 1510.587158915767
