tic gt tpeak labels pred_s0105
229944109.0 0 1808.844250306577 0 0.00051726185
445410746.0 0 1805.5563970684336 0 1.2723854e-05
331780550.0 0 1809.1813578567921 0 2.283363e-11
347768506.0 0 1805.2442930988377 0 8.35995e-09
233629196.0 0 1812.385866191936 0 9.553037e-07
229748836.0 0 1812.386148366143 0 6.739758e-11
427766763.0 0 1797.0553628876457 0 0.00013884091
130083516.0 1 1795.1827995757753 1 1.0
390170776.0 1 1797.139776137706 1 1.0
233079895.0 1 1811.239875266335 1 1.0
275146861.0 1 1799.0970435376244 1 0.99999994
139553692.0 0 1809.1410603448255 0 0.00080579566
267882450.0 0 1805.1985978979587 0 3.6596273e-06
26439243.0 1 1805.5579826466449 1 1.0
347581893.0 1 1793.9317349980083 1 1.0
302468363.0 1 1810.3698906091354 1 1.0
235709858.0 0 1812.3450137685304 0 2.774154e-11
377507360.0 1 1795.2842205617364 1 1.0
385245132.0 1 1797.7865767193418 1 1.0
94448601.0 1 1798.453762495035 1 1.0
299332103.0 0 1809.1606284246282 0 3.2220135e-10
316629077.0 1 1798.4320356029018 1 0.9999999
417746712.0 0 1812.3673901646855 0 4.4415387e-08
219800917.0 1 1794.323099213907 1 1.0
405414542.0 1 1797.4956025957513 1 1.0
372389105.0 0 1805.2420174422061 0 3.06056e-07
367089929.0 1 1796.3463625388201 1 1.0
258627737.0 0 1805.2829308461585 0 4.8252648e-08
321819483.0 0 1808.887486486495 0 2.1375663e-06
139532737.0 1 1797.495178420349 1 1.0
233080784.0 1 1810.323165863295 1 1.0
428606311.0 1 1797.472200722201 1 0.99985
422533069.0 1 1799.1397987660507 1 0.99999607
192320564.0 1 1810.9533068626629 1 1.0
332870266.0 0 1809.2023477820762 0 2.9231128e-07
245470004.0 1 1795.9525867046425 1 1.0
436861165.0 0 1796.6414726933483 0 0.00083854934
327189417.0 1 1797.015668106432 1 1.0
250560831.0 0 1808.8695912534563 0 2.916824e-05
359432099.0 0 1796.9100025866217 0 1.4132785e-07
233724202.0 0 1797.9689058450863 0 0.0002860045
377672342.0 1 1797.6386860482012 1 1.0
322310532.0 1 1795.3044477421474 1 1.0
259266180.0 0 1812.365631423346 0 7.45714e-12
269414794.0 1 1797.32623283249 1 1.0
416046064.0 1 1793.7242480486411 1 1.0
194779555.0 1 1811.4536995418362 1 0.99999416
283840173.0 1 1806.285123735164 1 0.9999995
396006762.0 0 1812.3472591346356 0 1.6629254e-05
271754473.0 0 1808.8679112428883 0 2.355101e-07
104316130.0 0 1808.8490844944956 0 0.00032975577
283933555.0 1 1797.576937585975 1 1.0
356340576.0 1 1798.1139023296853 1 0.9999714
422533317.0 1 1795.5772776013891 1 0.9999983
378861516.0 0 1800.3054818335218 0 4.260503e-10
251172551.0 0 1793.3901038138363 0 0.00029426307
229497700.0 1 1798.7823280215107 1 1.0
385401741.0 1 1810.1402593258656 1 1.0
241049137.0 0 1805.2027647659788 0 3.861166e-05
241005693.0 0 1805.2443037777311 0 9.305301e-13
279002856.0 0 1805.326834921049 0 1.7584487e-05
390521483.0 0 1805.2026109910491 0 7.202451e-05
407416720.0 0 1805.2238762630568 0 1.6861769e-06
431960980.0 1 1796.5783939886092 1 1.0
321720499.0 1 1796.887600766284 1 1.0
346787412.0 1 1797.3702547125827 1 1.0
256482129.0 1 1799.0355193511327 1 1.0
241024734.0 0 1812.3899751211118 0 0.00022786965
396267528.0 0 1797.8474384751628 0 0.00048075803
403832971.0 1 1810.1812115790133 1 1.0
264918797.0 0 1812.3486784602446 0 1.1161262e-06
245701169.0 1 1805.5152802863413 1 1.0
233527009.0 0 1797.9691133526132 0 4.6751e-06
259130225.0 1 1794.9490967432173 1 1.0
270015117.0 0 1796.9095936576848 0 1.0586834e-07
34821228.0 1 1798.0373031952952 1 1.0
452995303.0 1 1795.0146504101767 1 0.9999974
400336887.0 1 1796.9514868664533 1 1.0
436883430.0 1 1796.4747905612962 1 1.0
54204641.0 1 1794.4730150248067 1 1.0
178143596.0 1 1806.0370043695727 1 0.9999988
250473966.0 0 1808.8695396572718 0 3.052963e-07
249898079.0 0 1796.8281217371855 0 0.00056073704
245707562.0 0 1805.2029190715734 0 1.4245994e-07
441807965.0 0 1805.1988117228434 0 2.9614183e-08
284971496.0 0 1805.217950977784 0 7.1021184e-09
256347735.0 0 1805.2416799031575 0 4.634202e-12
284535029.0 0 1812.7016102886041 0 0.0010276268
252103748.0 0 1809.285470384023 0 0.0006636996
367241683.0 1 1798.7214437660605 1 1.0
436860179.0 0 1809.016302914273 0 0.0032925555
354798248.0 1 1793.9321480755395 1 0.99999213
378589986.0 1 1805.7428333544815 1 1.0
418134290.0 0 1805.2222836044218 0 3.2649211e-06
229944109.0 0 1812.3441908902778 0 3.9057295e-06
229788338.0 1 1798.2612857133051 1 0.99999994
285384380.0 1 1796.7870677780345 1 1.0
12550101.0 1 1796.5771773647668 1 1.0
219109953.0 1 1798.5319088423794 1 1.0
219779428.0 0 1808.8438042408002 0 0.00014714777
94455316.0 0 1793.1410072931294 0 0.0004940159
307115630.0 0 1805.514835695504 0 1.9027766e-08
250866967.0 1 1805.8488754997572 1 0.99999964
385444288.0 0 1796.8048912726817 0 0.003247976
49942082.0 1 1798.2857373472461 1 1.0
286482458.0 1 1798.3897461438928 1 1.0
441797422.0 1 1805.9278410797492 1 1.0
359134285.0 1 1810.2430946271631 1 0.9999999
250475148.0 0 1808.869500384763 0 3.2314229e-06
403626895.0 0 1812.3484266492453 0 6.0355134e-05
229800570.0 0 1808.8653270850516 0 2.0475971e-08
268850495.0 0 1812.7841669707782 0 0.0012267097
354013125.0 1 1794.4733567421417 1 1.0
441802006.0 1 1794.6154643914558 1 1.0
402953332.0 1 1811.0335679454286 1 0.99999994
94335288.0 0 1809.1204809546555 0 0.00044851395
279565723.0 0 1808.8675056792088 0 1.599187e-05
