tic gt tpeak labels pred_s0135
251282599.0 0.0 1809.0570345043354 4 2.3520992e-12
400823288.0 1.0 1810.9318082523662 1 1.0
118389230.0 0.0 1799.4538474556239 3 0.0013219513
453271501.0 1.0 1793.556704721263 1 1.0
417853483.0 1.0 1805.9930819230572 1 0.9999503
201186971.0 1.0 1795.5369101218273 1 0.9999978
396717670.0 1.0 1798.8057716581684 1 0.9999984
403939834.0 1.0 1798.451738337516 1 1.0
291887423.0 0.0 1795.411522234103 2 2.9134295e-10
83726119.0 1.0 1796.28497997177 1 0.9999894
240882665.0 1.0 1805.619170841448 1 0.99990904
353808537.0 1.0 1811.4473157287478 1 0.99891853
229942478.0 1.0 1805.2192580889302 1 0.99999946
259264759.0 1.0 1797.7200418627995 1 0.9965402
445297572.0 0.0 1805.9729272646764 2 2.590048e-06
402658915.0 1.0 1797.115775345498 1 0.99999994
402978255.0 0.0 1805.2007456221615 0 2.0822988e-06
83415409.0 1.0 1811.409784730302 1 1.0
275762183.0 1.0 1799.4724982488692 1 0.99999994
229585958.0 0.0 1797.0113564683706 4 0.0
117167920.0 1.0 1794.68212822902 1 0.99934614
321915925.0 1.0 1806.42918110158 1 0.9999993
271142488.0 1.0 1796.5347594386626 1 0.9999987
365889578.0 1.0 1796.4303393735277 1 0.9999937
368165075.0 1.0 1799.596898889616 1 0.9999612
389970188.0 0.0 1805.3229320693272 0 0.00034953505
376118396.0 1.0 1799.3269777117366 1 0.99973804
372640507.0 0.0 1812.6159983331386 0 8.376444e-06
219428871.0 1.0 1794.3018099931255 1 1.0
292823501.0 1.0 1798.474068318158 1 0.99999994
427590219.0 0.0 1808.84663911994 0 6.023255e-05
118421181.0 1.0 1793.1830884577698 1 0.9999995
255993777.0 0.0 1797.241275026988 3 0.0015446563
441810984.0 1.0 1797.178119024692 1 1.0
198189413.0 1.0 1797.4891925702536 1 0.99999917
323304373.0 1.0 1811.4294389483275 1 1.0
264699419.0 1.0 1796.9500990848417 1 0.99999946
198416591.0 0.0 1800.9681782202542 3 2.9425388e-31
434717882.0 1.0 1798.5968336559122 1 0.9999997
230073824.0 1.0 1793.6978850374035 1 0.99999833
377150632.0 1.0 1796.0550553734056 1 0.9999313
452915009.0 0.0 1808.0352618511706 4 1.616922e-05
415880296.0 1.0 1797.8281264941868 1 0.99823695
200935730.0 0.0 1805.2869280710754 0 0.0002056973
356896048.0 1.0 1800.0100957577342 1 0.9991878
372393589.0 1.0 1795.158823278101 1 0.99999976
264732493.0 0.0 1808.848462956745 0 3.2769538e-08
292324789.0 0.0 1805.2447859160477 0 1.5317493e-08
269697721.0 0.0 1809.9077134108184 3 1.2290829e-15
388581024.0 1.0 1811.554827817807 1 1.0
104151375.0 1.0 1797.8280902149188 1 0.99999887
68152958.0 0.0 1812.5160074250919 0 0.00049227546
445291780.0 1.0 1810.3477447964462 1 1.0
403259861.0 1.0 1796.1394094067473 1 1.0
34754679.0 1.0 1798.4956396631628 1 0.9999999
251007909.0 0.0 1808.848737948974 0 1.7215576e-05
12642732.0 0.0 1795.598186636759 2 6.866212e-08
367287170.0 1.0 1810.8255403686521 1 0.99968266
63404192.0 1.0 1810.3075052224635 1 0.9999993
331866937.0 1.0 1800.0343397074755 1 0.9999988
117114712.0 1.0 1795.82817583968 1 0.99482214
264898803.0 1.0 1795.8460864120025 1 0.99999994
375983121.0 1.0 1796.4297876263593 1 0.99999154
353001694.0 0.0 1808.1183295408448 4 4.408973e-24
444527030.0 0.0 1809.3061506814101 0 4.1228686e-06
199688472.0 0.0 1804.7180282637776 3 2.3556916e-15
366782088.0 1.0 1805.4295996255848 1 0.9999983
202354046.0 1.0 1794.613959985267 1 0.99999976
268330571.0 0.0 1808.9082366105283 0 2.9613608e-05
365945775.0 0.0 1793.4094828135599 0 2.1749845e-11
396012717.0 0.0 1793.3055795732785 0 1.0425648e-10
251514597.0 1.0 1796.7858885127837 1 0.9999995
291890860.0 0.0 1796.786551919504 0 3.0276933e-05
