tic gt tpeak labels pred_s0130
428210990.0 0.0 1796.64057653402 0 0.00058291754
285166956.0 1.0 1806.3693836107848 1 1.0
376499580.0 0.0 1795.0340859440284 3 1.9413709e-16
83967167.0 1.0 1810.1389690323674 1 1.0
336750985.0 0.0 1811.3253337241695 2 0.0016140913
378280451.0 0.0 1812.367876899941 0 1.2399063e-05
305794540.0 0.0 1812.366338775926 0 2.9341104e-08
198279370.0 1.0 1796.0518510934576 1 1.0
407928263.0 1.0 1796.8704471745916 1 0.99999976
377251803.0 0.0 1810.1563545943413 3 1.5252774e-15
284210800.0 0.0 1805.5559531708138 0 0.00057760597
198242868.0 1.0 1793.4055761981613 1 0.99999774
194618143.0 1.0 1797.7660308110542 1 0.9999993
258462992.0 1.0 1806.4285732950777 1 1.0
129817128.0 0.0 1809.1408448730995 0 0.0005905078
449986821.0 0.0 1796.3478887388233 2 6.5510915e-07
445486200.0 0.0 1808.8484763312201 0 0.00017892302
366674459.0 1.0 1797.762903903927 1 0.9999799
28757422.0 1.0 1798.1200476217386 1 1.0
236876634.0 1.0 1805.4283619026792 1 1.0
240972851.0 0.0 1808.8691140094895 0 1.46690245e-05
445439591.0 1.0 1797.5775368421157 1 1.0
279438097.0 0.0 1794.347675995836 0 3.2469365e-05
424283843.0 1.0 1795.3897823882178 1 0.99999994
317470793.0 0.0 1795.971680062842 3 5.4152232e-20
301100564.0 0.0 1796.8072272656243 0 0.00011053716
368515752.0 1.0 1798.430725746045 1 0.99992985
67390878.0 1.0 1796.703484442351 1 0.99999934
377159927.0 1.0 1805.5522437010334 1 1.0
236998036.0 1.0 1811.1992400143072 1 0.99998623
275057491.0 1.0 1799.4303788295053 1 0.99999845
331726882.0 1.0 1798.471500387147 1 0.9999669
307203546.0 0.0 1796.64013258671 0 0.002376898
431839593.0 0.0 1805.2243777627423 0 0.0005045901
35023339.0 0.0 1812.6205480668184 0 0.0011854775
229398450.0 1.0 1805.7196747084295 1 0.9999989
51024867.0 0.0 1798.8482137043054 2 0.0002740954
10973655.0 1.0 1811.4105058468642 1 0.99999976
104196403.0 0.0 1805.203302108932 0 0.0005510639
247008991.0 1.0 1793.6206677181701 1 0.99999243
395924247.0 0.0 1805.2431340370345 0 3.806403e-05
53799292.0 1.0 1796.827129526816 1 0.9999977
385591488.0 0.0 1805.4747929436123 0 0.00043234456
63584575.0 0.0 1809.1617580654088 0 0.0008605332
352283883.0 1.0 1796.9097649050168 1 0.9999998
129822207.0 1.0 1797.95362347605 1 0.99999887
352359172.0 1.0 1799.4100701610032 1 0.16137972
365940645.0 1.0 1796.6802491578724 1 1.0
251220253.0 1.0 1793.8069963118667 1 0.9996173
259000751.0 1.0 1794.178185349627 1 1.0
418218506.0 0.0 1812.491691143691 0 7.603748e-05
445559476.0 0.0 1808.848480055969 0 1.1620427e-06
288513991.0 0.0 1808.8872230967888 0 9.006026e-05
372216052.0 1.0 1796.8462675357787 1 0.99998385
301476871.0 0.0 1796.8281686013875 0 1.917487e-09
271021518.0 0.0 1798.32628207817 2 5.99887e-14
149925140.0 1.0 1795.182907107183 1 0.99999976
219857381.0 1.0 1796.344155871709 1 0.99999994
63471618.0 0.0 1809.2450654308727 0 0.0012803558
63345107.0 0.0 1805.3492740945394 0 0.022770379
301173087.0 0.0 1805.2030133137202 0 3.0764684e-09
367754612.0 0.0 1794.1992609047047 0 0.00076497224
376114509.0 0.0 1808.8467324442254 0 1.1490611e-06
397982006.0 1.0 1794.7016638294747 1 0.78006315
422984324.0 0.0 1805.2868337205193 0 0.0004332623
