loss_s0993 accuracy_s0993 auc_s0993 precision_s0993 recall_s0993 f1_score_s0993 val_loss_s0993 val_accuracy_s0993 val_auc_s0993 val_precision_s0993 val_recall_s0993 val_f1_score_s0993 test_loss_s0993 test_accuracy_s0993 test_auc_s0993 test_precision_s0993 test_recall_s0993 test_f1_score_s0993 test_f_score_s0993
0.33435681462287903 0.8742152452468872 0.9578983783721924 0.9128057956695557 0.8264999985694885 0.8675116300582886 0.11638402938842773 0.9818616509437561 0.9960476160049438 0.9898332953453064 0.9735999703407288 0.9816495180130005 0.11877743154764175 0.984455943107605 0.9945046901702881 0.9910786747932434 0.9775999784469604 0.9842931628227234 0.9842931628227234
0.12382188439369202 0.979720950126648 0.9950941205024719 0.9813346862792969 0.9779000282287598 0.9796143770217896 0.0930904895067215 0.98923659324646 0.9976863861083984 0.989591658115387 0.9887999892234802 0.989195704460144 0.0949922502040863 0.9882423281669617 0.9968509078025818 0.988786518573761 0.9876000285148621 0.9881929159164429 0.9881929159164429
0.0995684564113617 0.9862730503082275 0.9971285462379456 0.9869310259819031 0.9854999780654907 0.9862149953842163 0.09934479743242264 0.9868447184562683 0.9968027472496033 0.9955211877822876 0.9779999852180481 0.9866827726364136 0.1009705662727356 0.9870466589927673 0.9961018562316895 0.9955229759216309 0.9783999919891357 0.9868872165679932 0.9868872165679932
0.08915610611438751 0.9878674745559692 0.9978277683258057 0.9890721440315247 0.986549973487854 0.987809419631958 0.09758900105953217 0.9862467646598816 0.996518611907959 0.9959200620651245 0.9764000177383423 0.9860634207725525 0.0984649807214737 0.9870466589927673 0.9962132573127747 0.9975480437278748 0.9764000177383423 0.9868608117103577 0.9868608117103577
0.0828208178281784 0.9894369840621948 0.997638463973999 0.9917110204696655 0.9870499968528748 0.9893750548362732 0.06917915493249893 0.9936217069625854 0.9983623623847961 0.993995189666748 0.9932000041007996 0.9935973882675171 0.06905686110258102 0.9928258061408997 0.998298704624176 0.994779109954834 0.9908000230789185 0.9927855730056763 0.9927855730056763
0.07705069333314896 0.9902591109275818 0.997939944267273 0.992267906665802 0.9881500005722046 0.9902046322822571 0.06559605151414871 0.9938210248947144 0.9984444975852966 0.9936025738716125 0.9940000176429749 0.9938012361526489 0.06502245366573334 0.9936229586601257 0.9983698725700378 0.995184600353241 0.9919999837875366 0.9935897588729858 0.9935897588729858
0.07002940773963928 0.9913801550865173 0.9983657002449036 0.9928779006004333 0.989799976348877 0.9913365244865417 0.06649850308895111 0.992824375629425 0.9981417655944824 0.9967741966247559 0.9887999892234802 0.9927710294723511 0.0662003830075264 0.9918293952941895 0.9984378218650818 0.9967676997184753 0.9868000149726868 0.9917588233947754 0.9917588233947754
0.0654672309756279 0.991753876209259 0.9985042810440063 0.9935263991355896 0.9898999929428101 0.9917098879814148 0.06539064645767212 0.9922264218330383 0.9978598952293396 0.9967702627182007 0.9876000285148621 0.9921640157699585 0.06661775708198547 0.9922279715538025 0.9977198243141174 0.997976541519165 0.9864000082015991 0.9921545386314392 0.9921545386314392
0.06277111172676086 0.9918535351753235 0.9984344840049744 0.9936267137527466 0.9900000095367432 0.9918100237846375 0.05953310802578926 0.9926250576972961 0.9984803795814514 0.996372401714325 0.9887999892234802 0.9925717711448669 0.05937713757157326 0.9930251240730286 0.9985250234603882 0.9983825087547302 0.9876000285148621 0.9929619431495667 0.9929619431495667
0.05824025720357895 0.9929496645927429 0.9986603260040283 0.9945322275161743 0.9912999868392944 0.9929134845733643 0.05304071307182312 0.9952162504196167 0.9987213611602783 0.995199978351593 0.995199978351593 0.995199978351593 0.05131363496184349 0.9944201111793518 0.9988694787025452 0.9955894351005554 0.9932000041007996 0.9943932890892029 0.9943932890892029
