loss_s0131 accuracy_s0131 val_auc_s0131 precision_s0131 recall_s0131 f1_score_s0131 val_loss_s0131 val_accuracy_s0131 val_val_auc_s0131 val_precision_s0131 val_recall_s0131 val_f1_score_s0131
0.20605312287807465 0.9315199851989746 0.9763891100883484 0.9354805946350098 0.9265000224113464 0.9309685826301575 0.08282794058322906 0.9817583560943604 0.9963079690933228 0.9757061004638672 0.9879999756813049 0.9818145632743835
0.0845072865486145 0.9745069146156311 0.995103657245636 0.9725348353385925 0.9764249920845032 0.9744760394096375 0.11769186705350876 0.9654107093811035 0.9972267746925354 0.9390451312065125 0.995199978351593 0.9663074016571045
0.0637042447924614 0.9822320938110352 0.9969072937965393 0.9815009236335754 0.9828749895095825 0.9821874499320984 0.19734114408493042 0.9086921811103821 0.9965789318084717 0.847160816192627 0.9965999722480774 0.915824294090271
0.05650600045919418 0.9844374656677246 0.9976304173469543 0.9842059016227722 0.9845749735832214 0.984390377998352 0.051482051610946655 0.9844497442245483 0.9983763098716736 0.9758349657058716 0.993399977684021 0.9845391511917114
0.0482872873544693 0.9876148104667664 0.9981734752655029 0.9876725077629089 0.9874749779701233 0.9875736832618713 0.1924668401479721 0.9077950716018677 0.997746467590332 0.8448129892349243 0.9983999729156494 0.9152076244354248
0.047477155923843384 0.9877767562866211 0.9982472658157349 0.9875059127807617 0.987975001335144 0.9877403974533081 0.04416447877883911 0.9907296895980835 0.998650312423706 0.9863231182098389 0.995199978351593 0.9907416701316833
0.04004353657364845 0.990169107913971 0.9986250996589661 0.990812361240387 0.9894499778747559 0.9901307225227356 0.042804062366485596 0.9878389239311218 0.9988076090812683 0.9799291491508484 0.9959999918937683 0.9878992438316345
0.037099890410900116 0.9910163879394531 0.9988381266593933 0.991712749004364 0.9902499914169312 0.990980863571167 0.02679108828306198 0.9951156377792358 0.9989123344421387 0.9955955743789673 0.9945999979972839 0.9950975775718689
0.03366713598370552 0.992287278175354 0.9989518523216248 0.9930390119552612 0.991474986076355 0.9922564029693604 0.0292508527636528 0.9955143332481384 0.999008059501648 0.9946097135543823 0.996399998664856 0.9955040812492371
0.031317491084337234 0.993097186088562 0.999039888381958 0.9939393997192383 0.9922000169754028 0.9930689334869385 0.025705872103571892 0.9958133697509766 0.9989980459213257 0.9952057600021362 0.996399998664856 0.9958025217056274
