tic gt tpeak labels pred_s0122
347687318.0 1.0 1798.2651998994518 1 0.9999632
34819390.0 1.0 1797.4956198590608 1 1.0
327001139.0 1.0 1799.535158366624 1 0.9999989
331814268.0 0.0 1812.3470710223448 0 0.00092257257
189674221.0 0.0 1805.3490051747926 0 0.0096255895
350132371.0 0.0 1805.1794268423168 3 8.716358e-33
177800448.0 1.0 1794.474434772517 1 0.99999374
241027976.0 0.0 1808.8693298210053 0 0.003914435
424572302.0 1.0 1799.0774208866153 1 0.99967355
63468121.0 1.0 1797.7662116275528 1 1.0
428795527.0 0.0 1809.5761974631555 3 2.5703473e-10
35225770.0 0.0 1809.2664765792665 0 0.0031922963
348607534.0 1.0 1798.3276725263902 1 0.99996036
387833904.0 0.0 1793.324929735936 0 0.0021230914
402372446.0 1.0 1796.3912079510453 1 1.0
233079659.0 0.0 1807.489832016091 3 7.3989827e-23
387448360.0 1.0 1796.8039058420025 1 1.0
237104365.0 0.0 1794.6354309449382 2 4.4746064e-12
336540239.0 1.0 1797.263106844898 1 1.0
274949415.0 0.0 1812.3469955169905 0 7.0522735e-15
427475064.0 1.0 1805.3466842764933 1 1.0
67568294.0 1.0 1793.8285898178003 1 0.99999964
322208884.0 1.0 1806.366772196192 1 0.99984074
240815660.0 1.0 1794.5360417309596 1 1.0
54116017.0 1.0 1794.764437754356 1 0.9999999
21178009.0 1.0 1805.5162952184278 1 0.99999297
376499580.0 0.0 1797.9090574359548 3 2.848062e-37
453223094.0 0.0 1809.1815271740065 0 2.4827505e-05
130061105.0 1.0 1798.7451738909801 1 1.0
251100825.0 1.0 1794.8066384078652 1 1.0
305435383.0 0.0 1809.2022421214233 0 0.000107631444
320504104.0 1.0 1805.968439214151 1 1.0
94372467.0 1.0 1796.0369542722476 1 1.0
219879302.0 1.0 1797.5940410291037 1 1.0
84168650.0 0.0 1794.555933768745 2 1.2121751e-09
378854472.0 1.0 1795.4306998219624 1 0.9999998
278850732.0 1.0 1799.9307973009834 1 1.0
366470628.0 1.0 1795.2003276992189 1 0.9999389
399207947.0 1.0 1795.22300247188 1 0.99852544
289723181.0 1.0 1800.3641615792783 1 0.9999999
372114438.0 1.0 1794.5567493151852 1 0.999961
352033634.0 1.0 1810.5766822567732 1 0.99999624
250610534.0 1.0 1794.6820158404287 1 0.9999999
326968938.0 1.0 1794.2240355838414 1 1.0
317402981.0 1.0 1806.2423442729953 1 0.9999998
321734164.0 1.0 1796.6792803390604 1 1.0
407928263.0 0.0 1812.7664685611232 0 2.8260156e-06
415902272.0 0.0 1809.1406131262854 0 0.001955116
279522672.0 1.0 1810.5341212602937 1 0.99999696
284889047.0 1.0 1800.0098821220126 1 0.9999984
51029712.0 0.0 1808.9106998821312 0 0.0015662154
449997889.0 0.0 1812.7017891424925 0 3.663126e-05
445593043.0 1.0 1797.7650017321023 1 1.0
241067505.0 1.0 1799.7028997142506 1 0.99999994
252826739.0 1.0 1810.744969094242 1 1.0
232615019.0 1.0 1798.5100373518617 1 1.0
445536653.0 1.0 1796.2443309033288 1 1.0
198388252.0 0.0 1802.2805482048393 3 0.0
50187642.0 1.0 1796.5982887994999 1 1.0
356820646.0 0.0 1811.2822039041805 3 0.0
307207934.0 1.0 1796.9316523728342 1 0.9992483
399799675.0 1.0 1795.700731388304 1 0.99999624
308223707.0 0.0 1796.1611824133934 2 9.7881e-07
12481463.0 1.0 1799.2648945139051 1 1.0
251811476.0 1.0 1798.3486362595297 1 0.9999864
429031045.0 1.0 1805.804353412148 1 1.0
389545459.0 1.0 1798.806475932158 1 0.9999999
403307131.0 0.0 1796.639561887138 0 0.009095651
54049295.0 1.0 1795.8686508805315 1 1.0
202839485.0 0.0 1806.8491695905172 3 6.595738e-07
192472815.0 1.0 1793.9740771457373 1 0.99999994
445223944.0 0.0 1809.2019222978736 0 0.0021168373
12647445.0 1.0 1794.598255649266 1 0.9999999
327258368.0 0.0 1812.3693924856577 0 3.2873631e-06
352954787.0 0.0 1800.3039101720126 3 0.0
194673158.0 0.0 1793.141016751653 0 0.0034466886
399740559.0 0.0 1808.8469058639287 0 0.0011057709
326914202.0 0.0 1805.8279418794098 2 9.570871e-15
408703119.0 0.0 1799.3049869105225 2 2.422453e-23
441736971.0 1.0 1810.3448799788443 1 0.99998957
269039656.0 1.0 1798.7219962101904 1 1.0
307038586.0 0.0 1793.556698756502 2 3.4838177e-19
406267557.0 1.0 1797.7002251148933 1 0.9999999
265349418.0 1.0 1810.9301660826316 1 1.0
444140186.0 0.0 1812.7860844195557 0 8.3425434e-08
233079659.0 0.0 1812.8231476788853 3 1.060984e-22
10602308.0 1.0 1811.535545217716 1 1.0
177992394.0 1.0 1811.1828116137967 1 1.0
65357008.0 1.0 1810.12013265197 1 0.99999887
301162104.0 1.0 1794.8072443681508 1 0.9999999
385443544.0 0.0 1808.8468344727894 0 3.918522e-12
403525927.0 0.0 1808.869263878576 0 0.00079655234
117662217.0 0.0 1812.3699182990667 0 6.8241584e-06
389631988.0 1.0 1799.8897522204934 1 1.0
445381452.0 1.0 1806.2647175579823 1 1.0
104148789.0 1.0 1795.432129071083 1 1.0
366784073.0 0.0 1798.2838262169234 2 1.3851924e-13
366637868.0 0.0 1808.9086690313907 0 1.0436466e-07
229770438.0 0.0 1805.2196851306783 0 1.22319125e-05
428958057.0 0.0 1812.388113886956 0 1.6563719e-14
375657170.0 0.0 1805.61712200009 2 6.628882e-07
445443651.0 1.0 1806.1192384881801 1 1.0
103952689.0 1.0 1796.6198553320048 1 1.0
289357650.0 1.0 1799.3263018353696 1 0.99999994
418134659.0 1.0 1794.9306878798268 1 1.0
245512147.0 1.0 1793.9735539891344 1 0.9999991
229945319.0 1.0 1795.8237237666315 1 1.0
428549685.0 0.0 1805.6810581955979 0 0.00056795223
73693973.0 1.0 1795.2871437010394 1 0.999996
449937545.0 1.0 1810.5782814386628 1 1.0
428795527.0 0.0 1798.5760044840617 3 1.1388874e-09
362218331.0 1.0 1793.4702567841543 1 0.99999964
264153890.0 1.0 1805.4708434896272 1 0.999998
278856459.0 1.0 1796.8893309683672 1 1.0
401286142.0 0.0 1806.1180749617524 2 0.0
240832085.0 0.0 1805.5149113565894 0 6.7541086e-14
404113711.0 1.0 1798.1584800661797 1 1.0
431837541.0 1.0 1806.182662010579 1 1.0
367681735.0 0.0 1798.2817730483648 3 0.0
264294812.0 0.0 1808.9918036412362 0 7.64315e-11
284809168.0 0.0 1809.2016429327161 0 9.0682464e-05
82554765.0 1.0 1796.4105812669404 1 0.9999718
353878590.0 1.0 1797.474296907152 1 0.99999946
388439836.0 1.0 1806.054785774672 1 1.0
445189105.0 0.0 1796.6398438705953 0 5.4865035e-07
255970097.0 0.0 1805.743437777276 0 2.4006322e-12
374563067.0 1.0 1810.8483813456285 1 1.0
453154029.0 0.0 1796.1397565725426 2 6.080125e-26
404654596.0 1.0 1795.6377001649112 1 0.99999666
229586108.0 1.0 1797.5530576424526 1 1.0
233679313.0 1.0 1795.7809245827218 1 0.9999999
77543937.0 0.0 1810.1204482184103 2 1.8201411e-17
219849958.0 0.0 1794.9274513206167 2 2.9051225e-10
401495049.0 1.0 1796.9925382004417 1 0.99999994
418257102.0 0.0 1806.7209220345078 3 0.0
279266421.0 1.0 1799.1598955514835 1 1.0
392571860.0 1.0 1798.5939618701025 1 1.0
285905317.0 1.0 1798.8896226054367 1 0.99997735
245462642.0 1.0 1794.2443965986279 1 1.0
279566917.0 0.0 1793.409272041075 0 7.395104e-19
186746813.0 1.0 1810.6827023735825 1 0.99999
279284536.0 1.0 1795.4933325388272 1 1.0
400819374.0 1.0 1796.202106459433 1 1.0
272420313.0 1.0 1805.5137662405991 1 0.99999464
67765649.0 1.0 1805.3494699481278 1 0.99999815
50934824.0 1.0 1810.1190225598834 1 0.9999761
431968168.0 1.0 1798.8282476830657 1 0.9999991
256506463.0 1.0 1811.1792834491762 1 0.9999997
298356329.0 1.0 1799.1801896798202 1 0.999999
200731418.0 1.0 1797.5160606385139 1 0.99999994
20767856.0 1.0 1796.0783073880027 1 1.0
301100564.0 0.0 1808.8488514774594 0 0.0044627814
233525922.0 1.0 1800.1983810640652 1 0.9998882
445366885.0 0.0 1798.4522203975378 2 1.208129e-20
230074997.0 0.0 1796.906445790182 2 8.2633126e-27
101258958.0 1.0 1795.703775030265 1 1.0
275370398.0 1.0 1798.2219079734386 1 1.0
270335224.0 1.0 1799.2846681117903 1 0.99999976
431768693.0 0.0 1795.0365872156524 2 8.7276686e-11
