tic gt tpeak labels pred_s0103
229944109.0 0 1808.844250306577 0 0.00052218075
445410746.0 0 1805.5563970684336 0 1.7276639e-06
331780550.0 0 1809.1813578567921 0 9.064908e-11
347768506.0 0 1805.2442930988377 0 8.795815e-08
233629196.0 0 1812.385866191936 0 2.6426102e-05
229748836.0 0 1812.386148366143 0 9.000444e-10
427766763.0 0 1797.0553628876457 0 2.2083694e-07
130083516.0 1 1795.1827995757753 1 1.0
390170776.0 1 1797.139776137706 1 1.0
233079895.0 1 1811.239875266335 1 1.0
275146861.0 1 1799.0970435376244 1 0.99999845
139553692.0 0 1809.1410603448255 0 0.00013821112
267882450.0 0 1805.1985978979587 0 7.709192e-08
26439243.0 1 1805.5579826466449 1 0.9999999
347581893.0 1 1793.9317349980083 1 1.0
302468363.0 1 1810.3698906091354 1 1.0
235709858.0 0 1812.3450137685304 0 2.1244359e-10
377507360.0 1 1795.2842205617364 1 1.0
385245132.0 1 1797.7865767193418 1 1.0
94448601.0 1 1798.453762495035 1 1.0
299332103.0 0 1809.1606284246282 0 3.1587422e-10
316629077.0 1 1798.4320356029018 1 0.9999991
417746712.0 0 1812.3673901646855 0 1.2229495e-07
219800917.0 1 1794.323099213907 1 1.0
405414542.0 1 1797.4956025957513 1 1.0
372389105.0 0 1805.2420174422061 0 3.588451e-09
367089929.0 1 1796.3463625388201 1 1.0
258627737.0 0 1805.2829308461585 0 6.639796e-07
321819483.0 0 1808.887486486495 0 6.8652025e-07
139532737.0 1 1797.495178420349 1 1.0
233080784.0 1 1810.323165863295 1 1.0
428606311.0 1 1797.472200722201 1 0.99841505
422533069.0 1 1799.1397987660507 1 0.9999885
192320564.0 1 1810.9533068626629 1 1.0
332870266.0 0 1809.2023477820762 0 1.7175364e-07
245470004.0 1 1795.9525867046425 1 1.0
436861165.0 0 1796.6414726933483 0 0.00028641822
327189417.0 1 1797.015668106432 1 1.0
250560831.0 0 1808.8695912534563 0 1.3262214e-06
359432099.0 0 1796.9100025866217 0 7.044716e-08
233724202.0 0 1797.9689058450863 0 0.00010621373
377672342.0 1 1797.6386860482012 1 1.0
322310532.0 1 1795.3044477421474 1 1.0
259266180.0 0 1812.365631423346 0 1.346711e-10
269414794.0 1 1797.32623283249 1 1.0
416046064.0 1 1793.7242480486411 1 0.9999998
194779555.0 1 1811.4536995418362 1 0.9999828
283840173.0 1 1806.285123735164 1 0.999998
396006762.0 0 1812.3472591346356 0 8.050396e-06
271754473.0 0 1808.8679112428883 0 7.6444496e-07
104316130.0 0 1808.8490844944956 0 0.00022556899
283933555.0 1 1797.576937585975 1 1.0
356340576.0 1 1798.1139023296853 1 0.9997264
422533317.0 1 1795.5772776013891 1 0.99998635
378861516.0 0 1800.3054818335218 0 4.9791286e-08
251172551.0 0 1793.3901038138363 0 6.782301e-05
229497700.0 1 1798.7823280215107 1 1.0
385401741.0 1 1810.1402593258656 1 1.0
241049137.0 0 1805.2027647659788 0 7.3872514e-05
241005693.0 0 1805.2443037777311 0 1.2335265e-11
279002856.0 0 1805.326834921049 0 1.5963964e-06
390521483.0 0 1805.2026109910491 0 2.0553505e-05
407416720.0 0 1805.2238762630568 0 2.0907237e-06
431960980.0 1 1796.5783939886092 1 1.0
321720499.0 1 1796.887600766284 1 1.0
346787412.0 1 1797.3702547125827 1 1.0
256482129.0 1 1799.0355193511327 1 1.0
241024734.0 0 1812.3899751211118 0 0.00011480796
396267528.0 0 1797.8474384751628 0 0.00021822813
403832971.0 1 1810.1812115790133 1 1.0
264918797.0 0 1812.3486784602446 0 1.8482757e-07
245701169.0 1 1805.5152802863413 1 1.0
233527009.0 0 1797.9691133526132 0 4.9376627e-06
259130225.0 1 1794.9490967432173 1 1.0
270015117.0 0 1796.9095936576848 0 7.1651427e-09
34821228.0 1 1798.0373031952952 1 1.0
452995303.0 1 1795.0146504101767 1 0.9999923
400336887.0 1 1796.9514868664533 1 1.0
436883430.0 1 1796.4747905612962 1 1.0
54204641.0 1 1794.4730150248067 1 1.0
178143596.0 1 1806.0370043695727 1 0.99999857
250473966.0 0 1808.8695396572718 0 1.6795263e-06
249898079.0 0 1796.8281217371855 0 0.00015432673
245707562.0 0 1805.2029190715734 0 3.4853934e-07
441807965.0 0 1805.1988117228434 0 2.9796436e-09
284971496.0 0 1805.217950977784 0 3.1010285e-07
256347735.0 0 1805.2416799031575 0 1.8962494e-10
284535029.0 0 1812.7016102886041 0 0.00016789397
252103748.0 0 1809.285470384023 0 0.00043138
367241683.0 1 1798.7214437660605 1 1.0
436860179.0 0 1809.016302914273 0 0.00061219156
354798248.0 1 1793.9321480755395 1 0.9999649
378589986.0 1 1805.7428333544815 1 1.0
418134290.0 0 1805.2222836044218 0 8.209363e-06
229944109.0 0 1812.3441908902778 0 2.3066288e-05
229788338.0 1 1798.2612857133051 1 0.99999976
285384380.0 1 1796.7870677780345 1 0.99999994
12550101.0 1 1796.5771773647668 1 1.0
219109953.0 1 1798.5319088423794 1 1.0
219779428.0 0 1808.8438042408002 0 8.9636764e-05
94455316.0 0 1793.1410072931294 0 6.592139e-05
307115630.0 0 1805.514835695504 0 1.6724053e-08
250866967.0 1 1805.8488754997572 1 0.9999914
385444288.0 0 1796.8048912726817 0 0.0008946323
49942082.0 1 1798.2857373472461 1 1.0
286482458.0 1 1798.3897461438928 1 1.0
441797422.0 1 1805.9278410797492 1 1.0
359134285.0 1 1810.2430946271631 1 0.9999993
250475148.0 0 1808.869500384763 0 2.5785697e-08
403626895.0 0 1812.3484266492453 0 1.7967182e-05
229800570.0 0 1808.8653270850516 0 1.0571458e-07
268850495.0 0 1812.7841669707782 0 0.00025337565
354013125.0 1 1794.4733567421417 1 1.0
441802006.0 1 1794.6154643914558 1 1.0
402953332.0 1 1811.0335679454286 1 0.9999984
94335288.0 0 1809.1204809546555 0 0.0001420552
279565723.0 0 1808.8675056792088 0 2.7841215e-06
326210045.0 1 1805.6571997675262 1 0.9999974
407118556.0 1 1798.3679482324594 1 1.0
438262949.0 0 1808.9330959971892 0 4.658324e-05
219772326.0 0 1797.9685021853873 0 1.0477645e-05
256108894.0 0 1805.5561815364863 0 2.295009e-10
245399809.0 0 1793.3275221369374 0 8.26303e-05
351686387.0 1 1794.95164791033 1 1.0
376997143.0 0 1805.1980805316202 0 4.2383803e-07
332984339.0 1 1794.1190358907202 1 1.0
28778281.0 1 1798.4741588034028 1 0.9997233
5639198.0 0 1808.9118724808854 0 0.00012105586
368452048.0 1 1798.5557264395134 1 1.0
238721667.0 1 1811.494709793601 1 1.0
219900578.0 0 1808.844395754463 0 4.0971518e-05
270137767.0 0 1808.8677692212486 0 0.0002699572
316552547.0 1 1799.8045918626929 1 1.0
138122553.0 0 1809.1204556295888 0 9.494341e-05
327508381.0 1 1799.6407344430888 1 1.0
192471870.0 1 1794.057452704866 1 0.999986
265010455.0 0 1805.202702063244 0 5.1936364e-05
284714811.0 0 1809.3893204002886 0 5.1274863e-05
94671657.0 0 1812.891441747161 0 5.222178e-05
34753451.0 0 1796.6414736549564 0 0.000197176
315520526.0 1 1797.1191853211772 1 1.0
307276485.0 0 1805.2441529852624 0 1.1395418e-06
84161760.0 1 1806.3683624355617 1 0.999999
301480359.0 1 1796.2238687657975 1 1.0
356978759.0 1 1799.260307497522 1 0.9999999
229512467.0 0 1805.198872038654 0 5.0618496e-09
445378752.0 1 1810.7021561286049 1 1.0
288314361.0 0 1794.1992594305643 0 1.3122597e-07
373701453.0 1 1795.493633957156 1 0.99832237
327703444.0 1 1797.1199402151442 1 0.9997634
21018135.0 1 1799.2182480714898 1 1.0
139464423.0 1 1793.6202690517223 1 0.9998619
444445708.0 1 1810.2850223952385 1 1.0
352408429.0 0 1793.324782064193 0 0.0001567003
320493641.0 1 1811.389309944997 1 1.0
279285973.0 1 1798.4724757391562 1 1.0
250455085.0 0 1805.2237708718865 0 0.0036584593
65165362.0 0 1812.453444140659 0 0.00018831079
395769456.0 1 1805.3889580197429 1 0.89310783
302313993.0 1 1800.328212600081 1 1.0
395944886.0 0 1800.3053800860284 0 8.480324e-06
238771755.0 1 1793.682435091067 1 1.0
229401156.0 0 1812.3443133551957 0 9.007768e-12
332568616.0 0 1812.7022468397724 0 1.7640238e-13
65351247.0 0 1808.9117450509934 0 0.0003078402
321682751.0 0 1805.2416649100778 0 3.015079e-08
408703881.0 0 1800.3049032223294 0 1.5779664e-06
370212062.0 1 1800.0775084073662 1 0.99999607
420850745.0 0 1796.6394826193546 0 0.00072968786
390040549.0 1 1799.3688162773049 1 0.9999964
184588451.0 0 1800.140994416189 0 1.6779954e-05
26432739.0 1 1796.6204041757853 1 1.0
240897927.0 1 1798.015153412634 1 0.99999994
252116309.0 1 1810.2854761481208 1 0.9999986
285280982.0 0 1809.2035132714122 0 4.1715797e-05
264612637.0 1 1798.2443212007531 1 1.0
240993834.0 0 1805.2027006586402 0 0.00022746828
85486829.0 0 1809.1830032338057 0 0.00023946096
250709705.0 0 1796.640541061268 0 8.980069e-05
367003633.0 1 1798.7004989639197 1 1.0
406845242.0 0 1812.3679666295445 0 5.012467e-09
417699430.0 0 1808.866061217476 0 3.8805354e-07
417607351.0 0 1796.8250198295693 0 7.2821986e-06
444413797.0 0 1793.139287942388 0 1.0345239e-07
326257345.0 1 1797.470063884671 1 0.9999986
301259781.0 1 1799.8697504831473 1 1.0
203035428.0 1 1810.578290100334 1 0.99999917
376964669.0 1 1798.1591026354122 1 0.99999094
353083186.0 0 1808.8473867734008 0 4.8576196e-09
251817717.0 1 1805.7446332260938 1 1.0
345915530.0 1 1796.8482967664113 1 0.99999803
250454268.0 0 1796.76544745723 0 2.3604269e-05
237014073.0 1 1796.886989509427 1 1.0
285578995.0 1 1794.0769312093873 1 1.0
250923701.0 1 1799.8279573547634 1 1.0
374211362.0 0 1808.9313526862238 0 5.8624283e-07
302476679.0 0 1805.2446823749403 0 4.986394e-10
375985267.0 1 1798.0339051061278 1 1.0
373626245.0 1 1798.181379904086 1 1.0
26435247.0 0 1809.1205593751336 0 4.8893537e-05
397803860.0 1 1810.3889869468615 1 1.0
445303963.0 0 1809.2021190359073 0 2.1799713e-05
240764205.0 0 1809.2021210348034 0 2.2358887e-05
385048098.0 0 1805.2035590981038 0 0.00012284407
289581773.0 0 1812.4896424175952 0 3.462425e-05
358909502.0 0 1805.200851038343 0 1.5935359e-05
389962223.0 0 1808.843544533326 0 1.8353052e-10
63466196.0 0 1812.6824371758412 0 4.0489453e-05
291959014.0 0 1793.140751902683 0 3.0412142e-08
377201663.0 1 1805.658999163114 1 1.0
403744320.0 1 1811.390438926593 1 0.9999876
233719821.0 1 1796.7190287875187 1 0.99970585
116218714.0 1 1794.557331518086 1 1.0
366635780.0 1 1795.7212105676017 1 0.99999857
352406822.0 0 1805.241375977585 0 3.106889e-10
417749569.0 1 1795.430161659577 1 1.0
353002246.0 1 1796.6599602427675 1 1.0
367862410.0 1 1799.28429920648 1 1.0
378585324.0 1 1795.4303790061356 1 1.0
378366908.0 0 1805.2014628042434 0 1.0516179e-06
13456596.0 0 1808.9105576043685 0 7.436778e-05
407462577.0 1 1795.492816743814 1 1.0
184587091.0 0 1805.4951268719697 0 0.001761811
395586623.0 0 1812.34732838522 0 3.4803552e-06
285936441.0 1 1810.2866676436493 1 0.9999943
270005883.0 0 1809.3704121541225 0 0.00027515396
445293991.0 0 1805.681205693859 0 6.0913025e-11
368508592.0 1 1799.2846886437321 1 1.0
445259470.0 1 1798.4938829526786 1 1.0
379528619.0 1 1798.222537581978 1 0.89279324
256695842.0 0 1808.9105945914107 0 5.565501e-06
419745366.0 1 1798.847627614406 1 1.0
83425443.0 0 1805.2431395869576 0 1.8302944e-06
256642325.0 1 1810.7626392711657 1 0.99999994
373394521.0 0 1808.8885210089086 0 1.4750336e-06
52426624.0 0 1812.7019355847253 0 0.00029043984
259107632.0 1 1798.2030004738456 1 1.0
289355048.0 1 1796.6597668034126 1 1.0
104317112.0 0 1796.8905753515517 0 0.00015578333
396355329.0 0 1809.1599614556721 0 2.9606153e-05
104059935.0 0 1805.2031833416 0 3.9773545e-06
279378661.0 1 1798.6177924745634 1 0.9999995
34691690.0 0 1812.3913356817177 0 0.00018919735
292324789.0 1 1796.2448387439347 1 1.0
372356717.0 1 1810.1404283409354 1 1.0
250776044.0 0 1812.348721760793 0 0.0001607114
268842033.0 0 1812.36749037713 0 3.2492303e-13
94279774.0 1 1796.3078128140978 1 1.0
279606294.0 1 1796.5549821761479 1 1.0
435167321.0 0 1812.367430483355 0 3.7042344e-08
258801567.0 0 1812.3445427980457 0 3.0487795e-13
250560326.0 1 1798.9738586198625 1 1.0
377165286.0 0 1812.3646585731121 0 4.9058683e-05
370059938.0 0 1812.7022791800925 0 9.446172e-05
137991091.0 1 1793.4537804696588 1 1.0
63559370.0 1 1793.2662316137614 1 0.9999976
283133292.0 1 1806.0765886089428 1 0.9987227
395652803.0 1 1795.5971935520847 1 0.99999994
71853056.0 0 1809.0359342334239 0 3.255578e-06
390521861.0 1 1794.6816211196012 1 1.0
381733616.0 0 1809.078531822213 0 0.00074950827
292725056.0 0 1812.3697612553146 0 7.114949e-05
229910664.0 1 1798.0110751971406 1 1.0
283244040.0 0 1805.6184374058014 0 0.008487226
77420789.0 1 1797.0371270492535 1 1.0
327010874.0 1 1793.390592197561 1 1.0
333801983.0 1 1794.92894657737 1 1.0
199572965.0 0 1812.364476913887 0 1.1697425e-06
229491564.0 0 1805.2197563007 0 5.5387254e-13
445189935.0 1 1799.5564880915745 1 1.0
407163612.0 1 1810.243100820511 1 0.9999999
422533925.0 0 1796.6397275281247 0 0.06572104
407381866.0 1 1810.8487325096617 1 1.0
286240747.0 0 1812.4952294657296 0 0.0002673388
436848926.0 0 1796.6414343713811 0 0.00017473502
26619955.0 1 1793.516140532302 1 1.0
251298307.0 1 1797.640209354701 1 0.9999999
353604021.0 0 1805.2852860546823 0 1.8905022e-08
85489202.0 1 1796.2038129997393 1 0.99999994
424438254.0 1 1797.3234505017508 1 1.0
237079307.0 1 1795.7411805386291 1 0.9999959
347769273.0 1 1810.4942799758853 1 1.0
305099994.0 1 1810.3452991807937 1 0.99999917
390019727.0 0 1797.9685795762505 0 1.671086e-07
236966496.0 0 1793.4077620421112 0 4.1012442e-09
283841421.0 0 1805.5559844997483 0 2.0398165e-06
198457602.0 0 1805.1972090606846 0 9.511302e-07
377027389.0 1 1794.6591431338784 1 0.99999833
373695206.0 0 1808.9521113125384 0 3.0211406e-05
381687627.0 1 1810.224355250804 1 1.0
405623715.0 1 1794.994808795923 1 1.0
251653385.0 0 1800.39007951186 0 5.1817115e-06
445490752.0 1 1795.9735989330595 1 1.0
230021635.0 1 1798.8029812133095 1 0.9999959
165550566.0 1 1810.760075233669 1 1.0
184734764.0 0 1812.7657641796977 0 1.6782145e-05
445350626.0 1 1793.4107332899432 1 1.0
73637730.0 0 1796.6412716033176 0 0.00018566461
381687387.0 0 1800.1410887668856 0 4.0589653e-06
68092901.0 0 1812.5159934454605 0 0.00013018641
422562711.0 0 1796.909224899627 0 8.9989385e-09
117615813.0 0 1805.2240703965806 0 6.032778e-07
198457602.0 0 1808.8430297757757 0 0.0003149543
368892341.0 1 1797.034769068425 1 1.0
327508064.0 0 1796.6407759941462 0 0.00080374273
322338839.0 1 1796.8276609504123 1 1.0
418698185.0 1 1810.4305664269034 1 1.0
299436180.0 0 1812.3486128836364 0 3.7427913e-08
428955419.0 1 1799.4297226842427 1 0.9999994
366070209.0 1 1797.9093978554224 1 1.0
219877284.0 1 1796.510730884753 1 0.99999994
385104615.0 0 1808.95335713778 0 0.00017340272
381685255.0 0 1809.2032184070579 0 1.6631491e-11
264404726.0 0 1808.8668690977677 0 5.0078448e-05
259097836.0 1 1796.8448115991137 1 1.0
359556000.0 1 1798.7603812970017 1 1.0
202838286.0 1 1797.8284451787194 1 1.0
416043293.0 1 1810.4115077677272 1 0.9999993
312555694.0 1 1795.2856294362327 1 1.0
