tic gt tpeak labels pred_s0993
229944109.0 0 1808.844250306577 0 0.0035252552
445410746.0 0 1805.5563970684336 0 0.0050646407
331780550.0 0 1809.1813578567921 0 0.0010573294
347768506.0 0 1805.2442930988377 0 0.0023790628
233629196.0 0 1812.385866191936 0 0.016056787
229748836.0 0 1812.386148366143 0 0.000755721
427766763.0 0 1797.0553628876457 0 0.0007264799
130083516.0 1 1795.1827995757753 1 0.9999352
390170776.0 1 1797.139776137706 1 0.9999978
233079895.0 1 1811.239875266335 1 0.9999292
275146861.0 1 1799.0970435376244 1 0.9999317
139553692.0 0 1809.1410603448255 0 0.0010392983
267882450.0 0 1805.1985978979587 0 0.00019905424
26439243.0 1 1805.5579826466449 1 0.9999272
347581893.0 1 1793.9317349980083 1 0.9999997
302468363.0 1 1810.3698906091354 1 0.99999774
235709858.0 0 1812.3450137685304 0 0.014219138
377507360.0 1 1795.2842205617364 1 0.99999666
385245132.0 1 1797.7865767193418 1 0.99980783
94448601.0 1 1798.453762495035 1 0.9999955
299332103.0 0 1809.1606284246282 0 0.00057372486
316629077.0 1 1798.4320356029018 1 0.999921
417746712.0 0 1812.3673901646855 0 0.0011641408
219800917.0 1 1794.323099213907 1 0.9999979
405414542.0 1 1797.4956025957513 1 0.9994353
372389105.0 0 1805.2420174422061 0 0.0041148155
367089929.0 1 1796.3463625388201 1 0.9999993
258627737.0 0 1805.2829308461585 0 0.0007011547
321819483.0 0 1808.887486486495 0 0.0010149499
139532737.0 1 1797.495178420349 1 0.9999638
233080784.0 1 1810.323165863295 1 0.9999084
428606311.0 1 1797.472200722201 1 0.99928576
422533069.0 1 1799.1397987660507 1 0.99987113
192320564.0 1 1810.9533068626629 1 0.99998605
332870266.0 0 1809.2023477820762 0 0.0005916886
245470004.0 1 1795.9525867046425 1 0.9999777
436861165.0 0 1796.6414726933483 0 0.002282484
327189417.0 1 1797.015668106432 1 0.99966764
250560831.0 0 1808.8695912534563 0 0.0010884218
359432099.0 0 1796.9100025866217 0 0.0008065674
